Precinct Designation (Permanent),Early Votes,Votes Allowed,SubJurisidction,(Unused),Polling Place Votes,Contest Name,Precinct Name,Vote Total,Choice Name,Referendum Flag,Contest ID,Party Name,Provisional Votes,Polling Place Votes DS200,Early Votes DS200,Choice ID,Precinct ID (Election)
52,000091,00,,,000302,BALLOTS CAST - TOTAL,RED VALLEY,000411,BALLOTS CAST - TOTAL,,0002,,000018,000000,000000,001,0028
54,000135,00,,,000468,BALLOTS CAST - TOTAL,ROCK POINT,000664,BALLOTS CAST - TOTAL,,0002,,000061,000000,000000,001,0029
56,000131,00,,,000284,BALLOTS CAST - TOTAL,ROUGH ROCK,000443,BALLOTS CAST - TOTAL,,0002,,000028,000000,000000,001,0030
58,000103,00,,,000350,BALLOTS CAST - TOTAL,ROUND ROCK,000487,BALLOTS CAST - TOTAL,,0002,,000034,000000,000000,001,0031
59,000333,00,,,000208,BALLOTS CAST - TOTAL,ROUND VALLEY,000567,BALLOTS CAST - TOTAL,,0002,,000026,000000,000000,001,0032
61,000624,00,,,000372,BALLOTS CAST - TOTAL,ST. JOHNS,001034,BALLOTS CAST - TOTAL,,0002,,000038,000000,000000,001,0033
65,000481,00,,,000561,BALLOTS CAST - TOTAL,ST. MICHAELS,001127,BALLOTS CAST - TOTAL,,0002,,000085,000000,000000,001,0034
67,000154,00,,,000275,BALLOTS CAST - TOTAL,SAWMILL,000456,BALLOTS CAST - TOTAL,,0002,,000027,000000,000000,001,0035
70,000427,00,,,000256,BALLOTS CAST - TOTAL,SPRINGERVILLE,000716,BALLOTS CAST - TOTAL,,0002,,000033,000000,000000,001,0036
74,000270,00,,,000419,BALLOTS CAST - TOTAL,STEAMBOAT,000731,BALLOTS CAST - TOTAL,,0002,,000042,000000,000000,001,0037
76,000094,00,,,000258,BALLOTS CAST - TOTAL,SWEETWATER,000357,BALLOTS CAST - TOTAL,,0002,,000005,000000,000000,001,0038
78,000090,00,,,000199,BALLOTS CAST - TOTAL,TACHEE,000304,BALLOTS CAST - TOTAL,,0002,,000015,000000,000000,001,0039
80,000109,00,,,000282,BALLOTS CAST - TOTAL,TEEC NOS POS,000418,BALLOTS CAST - TOTAL,,0002,,000027,000000,000000,001,0040
82,000800,00,,,000253,BALLOTS CAST - TOTAL,VERNON,001087,BALLOTS CAST - TOTAL,,0002,,000034,000000,000000,001,0041
84,000256,00,,,000539,BALLOTS CAST - TOTAL,WHEATFIELDS,000847,BALLOTS CAST - TOTAL,,0002,,000052,000000,000000,001,0042
86,000147,00,,,000254,BALLOTS CAST - TOTAL,WIDE RUINS,000416,BALLOTS CAST - TOTAL,,0002,,000015,000000,000000,001,0043
88,000542,00,,,000402,BALLOTS CAST - TOTAL,WINDOW ROCK,000990,BALLOTS CAST - TOTAL,,0002,,000046,000000,000000,001,0044
02,000000,00,,,000000,BALLOTS CAST - BLANK,ALPINE,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0001
03,000001,00,,,000000,BALLOTS CAST - BLANK,CANYON DE CHELLY,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0002
05,000000,00,,,000000,BALLOTS CAST - BLANK,CHINLE,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0003
09,000000,00,,,000000,BALLOTS CAST - BLANK,CONCHO,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0004
10,000000,00,,,000002,BALLOTS CAST - BLANK,CORNFIELDS,000002,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0005
11,000000,00,,,000001,BALLOTS CAST - BLANK,COTTONWOOD,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0006
12,000000,00,,,000000,BALLOTS CAST - BLANK,CORONADO,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0007
13,000000,00,,,000000,BALLOTS CAST - BLANK,DENNEHOTSO,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0008
16,000000,00,,,000000,BALLOTS CAST - BLANK,EAGAR,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0009
17,000000,00,,,000000,BALLOTS CAST - BLANK,FLAT TOP,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0010
19,000001,00,,,000000,BALLOTS CAST - BLANK,FT. DEFIANCE,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0011
22,000000,00,,,000001,BALLOTS CAST - BLANK,GANADO NORTH,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0012
23,000000,00,,,000000,BALLOTS CAST - BLANK,GANADO SOUTH,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0013
25,000000,00,,,000000,BALLOTS CAST - BLANK,GREER,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0014
27,000001,00,,,000000,BALLOTS CAST - BLANK,HOUCK,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0015
29,000000,00,,,000000,BALLOTS CAST - BLANK,KINLICHEE,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0016
31,000000,00,,,000000,BALLOTS CAST - BLANK,KLAGETOH,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0017
33,000000,00,,,000001,BALLOTS CAST - BLANK,LUKACHUKAI,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0018
35,000000,00,,,000000,BALLOTS CAST - BLANK,LUPTON,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0019
37,000000,00,,,000000,BALLOTS CAST - BLANK,MCNARY,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0020
39,000001,00,,,000001,BALLOTS CAST - BLANK,MANY FARMS,000002,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0021
41,000000,00,,,000000,BALLOTS CAST - BLANK,MEXICAN WATER,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0022
43,000001,00,,,000000,BALLOTS CAST - BLANK,NAZLINI,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0023
45,000000,00,,,000001,BALLOTS CAST - BLANK,NUTRIOSO,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0024
46,000000,00,,,000001,BALLOTS CAST - BLANK,OAK SPRINGS,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0025
48,000000,00,T,,000000,BALLOTS CAST - BLANK,PUERCO EAST & 49 PUERCO WES,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0026
51,000000,00,,,000000,BALLOTS CAST - BLANK,RED MESA,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0027
52,000000,00,,,000000,BALLOTS CAST - BLANK,RED VALLEY,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0028
54,000000,00,,,000000,BALLOTS CAST - BLANK,ROCK POINT,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0029
56,000000,00,,,000000,BALLOTS CAST - BLANK,ROUGH ROCK,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0030
58,000000,00,,,000001,BALLOTS CAST - BLANK,ROUND ROCK,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0031
59,000000,00,,,000000,BALLOTS CAST - BLANK,ROUND VALLEY,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0032
61,000000,00,,,000000,BALLOTS CAST - BLANK,ST. JOHNS,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0033
65,000000,00,,,000000,BALLOTS CAST - BLANK,ST. MICHAELS,000001,BALLOTS CAST - BLANK,,0003,,000001,000000,000000,001,0034
67,000000,00,,,000000,BALLOTS CAST - BLANK,SAWMILL,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0035
70,000000,00,,,000000,BALLOTS CAST - BLANK,SPRINGERVILLE,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0036
74,000000,00,,,000000,BALLOTS CAST - BLANK,STEAMBOAT,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0037
76,000000,00,,,000000,BALLOTS CAST - BLANK,SWEETWATER,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0038
78,000000,00,,,000000,BALLOTS CAST - BLANK,TACHEE,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0039
80,000000,00,,,000000,BALLOTS CAST - BLANK,TEEC NOS POS,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0040
82,000000,00,,,000001,BALLOTS CAST - BLANK,VERNON,000001,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0041
84,000000,00,,,000000,BALLOTS CAST - BLANK,WHEATFIELDS,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0042
86,000000,00,,,000000,BALLOTS CAST - BLANK,WIDE RUINS,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0043
88,000000,00,,,000000,BALLOTS CAST - BLANK,WINDOW ROCK,000000,BALLOTS CAST - BLANK,,0003,,000000,000000,000000,001,0044
02,000050,01,,,000010,Presidential Electors,ALPINE,000060,"CLINTON, KAINE",,0302,DEM,000000,000000,000000,001,0001
03,000637,01,,,000674,Presidential Electors,CANYON DE CHELLY,001387,"CLINTON, KAINE",,0302,DEM,000076,000000,000000,001,0002
05,000348,01,,,000300,Presidential Electors,CHINLE,000678,"CLINTON, KAINE",,0302,DEM,000030,000000,000000,001,0003
09,000182,01,,,000040,Presidential Electors,CONCHO,000228,"CLINTON, KAINE",,0302,DEM,000006,000000,000000,001,0004
10,000085,01,,,000262,Presidential Electors,CORNFIELDS,000349,"CLINTON, KAINE",,0302,DEM,000002,000000,000000,001,0005
11,000193,01,,,000373,Presidential Electors,COTTONWOOD,000589,"CLINTON, KAINE",,0302,DEM,000023,000000,000000,001,0006
12,000037,01,,,000017,Presidential Electors,CORONADO,000057,"CLINTON, KAINE",,0302,DEM,000003,000000,000000,001,0007
13,000065,01,,,000352,Presidential Electors,DENNEHOTSO,000430,"CLINTON, KAINE",,0302,DEM,000013,000000,000000,001,0008
16,000099,01,,,000036,Presidential Electors,EAGAR,000141,"CLINTON, KAINE",,0302,DEM,000006,000000,000000,001,0009
17,000055,01,,,000024,Presidential Electors,FLAT TOP,000083,"CLINTON, KAINE",,0302,DEM,000004,000000,000000,001,0010
19,000656,01,,,000585,Presidential Electors,FT. DEFIANCE,001306,"CLINTON, KAINE",,0302,DEM,000065,000000,000000,001,0011
22,000118,01,,,000181,Presidential Electors,GANADO NORTH,000316,"CLINTON, KAINE",,0302,DEM,000017,000000,000000,001,0012
23,000171,01,,,000287,Presidential Electors,GANADO SOUTH,000485,"CLINTON, KAINE",,0302,DEM,000027,000000,000000,001,0013
25,000030,01,,,000004,Presidential Electors,GREER,000034,"CLINTON, KAINE",,0302,DEM,000000,000000,000000,001,0014
27,000176,01,,,000223,Presidential Electors,HOUCK,000407,"CLINTON, KAINE",,0302,DEM,000008,000000,000000,001,0015
29,000148,01,,,000320,Presidential Electors,KINLICHEE,000520,"CLINTON, KAINE",,0302,DEM,000052,000000,000000,001,0016
31,000119,01,,,000214,Presidential Electors,KLAGETOH,000359,"CLINTON, KAINE",,0302,DEM,000026,000000,000000,001,0017
33,000168,01,,,000476,Presidential Electors,LUKACHUKAI,000710,"CLINTON, KAINE",,0302,DEM,000066,000000,000000,001,0018
35,000076,01,,,000179,Presidential Electors,LUPTON,000261,"CLINTON, KAINE",,0302,DEM,000006,000000,000000,001,0019
37,000007,01,,,000052,Presidential Electors,MCNARY,000066,"CLINTON, KAINE",,0302,DEM,000007,000000,000000,001,0020
39,000300,01,,,000390,Presidential Electors,MANY FARMS,000732,"CLINTON, KAINE",,0302,DEM,000042,000000,000000,001,0021
41,000023,01,,,000058,Presidential Electors,MEXICAN WATER,000087,"CLINTON, KAINE",,0302,DEM,000006,000000,000000,001,0022
43,000185,01,,,000224,Presidential Electors,NAZLINI,000430,"CLINTON, KAINE",,0302,DEM,000021,000000,000000,001,0023
45,000045,01,,,000011,Presidential Electors,NUTRIOSO,000059,"CLINTON, KAINE",,0302,DEM,000003,000000,000000,001,0024
46,000098,01,,,000115,Presidential Electors,OAK SPRINGS,000218,"CLINTON, KAINE",,0302,DEM,000005,000000,000000,001,0025
48,000199,01,T,,000244,Presidential Electors,PUERCO EAST & 49 PUERCO WES,000478,"CLINTON, KAINE",,0302,DEM,000035,000000,000000,001,0026
51,000026,01,,,000063,Presidential Electors,RED MESA,000098,"CLINTON, KAINE",,0302,DEM,000009,000000,000000,001,0027
52,000061,01,,,000188,Presidential Electors,RED VALLEY,000259,"CLINTON, KAINE",,0302,DEM,000010,000000,000000,001,0028
54,000114,01,,,000398,Presidential Electors,ROCK POINT,000557,"CLINTON, KAINE",,0302,DEM,000045,000000,000000,001,0029
56,000114,01,,,000245,Presidential Electors,ROUGH ROCK,000381,"CLINTON, KAINE",,0302,DEM,000022,000000,000000,001,0030
58,000087,01,,,000293,Presidential Electors,ROUND ROCK,000407,"CLINTON, KAINE",,0302,DEM,000027,000000,000000,001,0031
59,000040,01,,,000022,Presidential Electors,ROUND VALLEY,000066,"CLINTON, KAINE",,0302,DEM,000004,000000,000000,001,0032
61,000131,01,,,000060,Presidential Electors,ST. JOHNS,000195,"CLINTON, KAINE",,0302,DEM,000004,000000,000000,001,0033
65,000384,01,,,000412,Presidential Electors,ST. MICHAELS,000854,"CLINTON, KAINE",,0302,DEM,000058,000000,000000,001,0034
67,000122,01,,,000196,Presidential Electors,SAWMILL,000337,"CLINTON, KAINE",,0302,DEM,000019,000000,000000,001,0035
70,000100,01,,,000043,Presidential Electors,SPRINGERVILLE,000145,"CLINTON, KAINE",,0302,DEM,000002,000000,000000,001,0036
74,000235,01,,,000362,Presidential Electors,STEAMBOAT,000630,"CLINTON, KAINE",,0302,DEM,000033,000000,000000,001,0037
76,000061,01,,,000162,Presidential Electors,SWEETWATER,000228,"CLINTON, KAINE",,0302,DEM,000005,000000,000000,001,0038
78,000072,01,,,000164,Presidential Electors,TACHEE,000245,"CLINTON, KAINE",,0302,DEM,000009,000000,000000,001,0039
80,000075,01,,,000209,Presidential Electors,TEEC NOS POS,000303,"CLINTON, KAINE",,0302,DEM,000019,000000,000000,001,0040
82,000148,01,,,000023,Presidential Electors,VERNON,000175,"CLINTON, KAINE",,0302,DEM,000004,000000,000000,001,0041
84,000208,01,,,000438,Presidential Electors,WHEATFIELDS,000693,"CLINTON, KAINE",,0302,DEM,000047,000000,000000,001,0042
86,000119,01,,,000204,Presidential Electors,WIDE RUINS,000335,"CLINTON, KAINE",,0302,DEM,000012,000000,000000,001,0043
88,000401,01,,,000280,Presidential Electors,WINDOW ROCK,000705,"CLINTON, KAINE",,0302,DEM,000024,000000,000000,001,0044
02,000147,01,,,000063,Presidential Electors,ALPINE,000216,"TRUMP, PENCE",,0302,REP,000006,000000,000000,002,0001
03,000066,01,,,000067,Presidential Electors,CANYON DE CHELLY,000143,"TRUMP, PENCE",,0302,REP,000010,000000,000000,002,0002
05,000042,01,,,000044,Presidential Electors,CHINLE,000093,"TRUMP, PENCE",,0302,REP,000007,000000,000000,002,0003
09,000788,01,,,000305,Presidential Electors,CONCHO,001135,"TRUMP, PENCE",,0302,REP,000042,000000,000000,002,0004
10,000009,01,,,000022,Presidential Electors,CORNFIELDS,000033,"TRUMP, PENCE",,0302,REP,000002,000000,000000,002,0005
11,000012,01,,,000033,Presidential Electors,COTTONWOOD,000047,"TRUMP, PENCE",,0302,REP,000002,000000,000000,002,0006
12,000317,01,,,000245,Presidential Electors,CORONADO,000582,"TRUMP, PENCE",,0302,REP,000020,000000,000000,002,0007
13,000004,01,,,000033,Presidential Electors,DENNEHOTSO,000040,"TRUMP, PENCE",,0302,REP,000003,000000,000000,002,0008
16,000475,01,,,000257,Presidential Electors,EAGAR,000762,"TRUMP, PENCE",,0302,REP,000030,000000,000000,002,0009
17,000322,01,,,000222,Presidential Electors,FLAT TOP,000559,"TRUMP, PENCE",,0302,REP,000015,000000,000000,002,0010
19,000113,01,,,000117,Presidential Electors,FT. DEFIANCE,000251,"TRUMP, PENCE",,0302,REP,000021,000000,000000,002,0011
22,000018,01,,,000014,Presidential Electors,GANADO NORTH,000033,"TRUMP, PENCE",,0302,REP,000001,000000,000000,002,0012
23,000019,01,,,000035,Presidential Electors,GANADO SOUTH,000055,"TRUMP, PENCE",,0302,REP,000001,000000,000000,002,0013
25,000059,01,,,000028,Presidential Electors,GREER,000087,"TRUMP, PENCE",,0302,REP,000000,000000,000000,002,0014
